Year,India, China,USA
1960,37029883875,59716467625,5.43E+11
1961,39232435784,50056868958,5.63E+11
1962,42161481859,47209359006,6.05E+11
1963,48421923459,50706799903,6.39E+11
1964,56480289941,59708343489,6.86E+11
1965,59554854575,70436266147,7.44E+11
1966,45865462034,76720285970,8.15E+11
1967,50134942203,72881631327,8.62E+11
1968,53085455871,70846535056,9.43E+11
1969,58447995017,79705906247,1.02E+12
1970,62422483055,92602973434,1.07E+12
1971,67350988021,99800958648,1.16E+12
1972,71463193830,1.14E+11,1.28E+12
1973,85515269586,1.39E+11,1.43E+12
1974,99525899116,1.44E+11,1.55E+12
1975,98472796457,1.63E+11,1.68E+12
1976,1.03E+11,1.54E+11,1.87E+12
1977,1.21E+11,1.75E+11,2.08E+12
1978,1.37E+11,1.50E+11,2.35E+12
1979,1.53E+11,1.78E+11,2.63E+12
1980,1.86E+11,1.91E+11,2.86E+12
1981,1.93E+11,1.96E+11,3.21E+12
1982,2.01E+11,2.05E+11,3.34E+12
1983,2.18E+11,2.31E+11,3.63E+12
1984,2.12E+11,2.60E+11,4.04E+12
1985,2.33E+11,3.09E+11,4.34E+12
1986,2.49E+11,3.01E+11,4.58E+12
1987,2.79E+11,2.73E+11,4.86E+12
1988,2.97E+11,3.12E+11,5.24E+12
1989,2.96E+11,3.48E+11,5.64E+12
1990,3.21E+11,3.61E+11,5.96E+12
1991,2.70E+11,3.83E+11,6.16E+12
1992,2.88E+11,4.27E+11,6.52E+12
1993,2.79E+11,4.45E+11,6.86E+12
1994,3.27E+11,5.64E+11,7.29E+12
1995,3.60E+11,7.35E+11,7.64E+12
1996,3.93E+11,8.64E+11,8.07E+12
1997,4.16E+11,9.62E+11,8.58E+12
1998,4.21E+11,1.03E+12,9.06E+12
1999,4.59E+11,1.09E+12,9.63E+12
2000,4.68E+11,1.21E+12,1.03E+13
2001,4.85E+11,1.34E+12,1.06E+13
2002,5.15E+11,1.47E+12,1.09E+13
2003,6.08E+11,1.66E+12,1.15E+13
2004,7.09E+11,1.96E+12,1.22E+13
2005,8.20E+11,2.29E+12,1.30E+13
2006,9.40E+11,2.75E+12,1.38E+13
2007,1.22E+12,3.55E+12,1.45E+13
2008,1.20E+12,4.59E+12,1.47E+13
2009,1.34E+12,5.10E+12,1.44E+13
2010,1.68E+12,6.09E+12,1.50E+13
2011,1.82E+12,7.55E+12,1.55E+13
2012,1.83E+12,8.53E+12,1.62E+13
2013,1.86E+12,9.57E+12,1.68E+13
2014,2.04E+12,1.05E+13,1.75E+13
2015,2.10E+12,1.11E+13,1.82E+13
2016,2.29E+12,1.12E+13,1.87E+13
2017,2.65E+12,1.23E+13,1.95E+13
2018,2.70E+12,1.39E+13,2.06E+13
2019,2.87E+12,1.43E+13,2.14E+13
2020,2.62E+12,1.47E+13,2.09E+13
